confidence,context_source,doi_url,existing_abstract,existing_key_metrics_output,existing_particle_size_range,matched_item_id,matched_item_key,pdf,proposed_abstract,proposed_key_metrics_output,proposed_particle_size_range,proposed_pdf_available_zotero,proposed_reviewed,response_json,row,short_citation,source_url,status,url_cache,url_context_source
,,https://doi.org/10.1021/es2031505,,,,,,,,,,,,,153,"Hidalgo-Ruz et al., 2012",https://doi.org/10.1021/es2031505,no_zotero_match,,url_scrape_failed: HTTP Error 403: Forbidden
high,url_landing_page,https://www.iso.org/standard/72300.html,,,,58034,C23WVI5V,,"This technical report summarizes current scientific literature on the occurrence of macroplastics and microplastics in the environment and biota. It provides an overview of testing methods including sampling from various environmental matrices, sample preparation, and analysis procedures. The document describes chemical and physical testing methods for identification and quantification of plastics and gives recommendations for standardization of sampling, sample preparation, and analysis procedures. Indoor and health-related aspects are excluded from scope.",occurrence of macroplastics and microplastics; sampling methods from various environmental matrices; sample preparation and analysis; chemical and physical testing methods for identification and quantification of plastics,,No,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_154_C23WVI5V.json,154,ISO 21960:2020,https://www.iso.org/standard/72300.html,llm_ok,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\url_context\https_www_iso_org_standard_72300_html.txt,url_landing_page
high,url_landing_page,https://doi.org/10.1007/978-3-319-16510-3_8,,Count/m³ or deposition rate (particles/m²/day); 11-criterion QA/QC score; mean 48.6% across studies,>10 µm (majority of 27 reviewed studies); recommends prioritizing <10 µm for human health,,,,"This chapter reviews methodologies for detecting and identifying microplastics in marine environments, focusing on sampling approaches, laboratory processing, and identification techniques. A case study of North Sea sediment samples using focal plane array (FPA)-based micro-FTIR spectroscopy found that only 1.4% of particles visually resembling microplastics were confirmed as synthetic polymers, highlighting the critical importance of verifying synthetic polymer origin. The review emphasizes the need for standardized methodologies and analytical standards to improve data comparability and reliability in microplastic research.","Microplastic concentration; polymer identification and verification; synthetic polymer origin confirmation; particle count; analytical techniques (micro-FTIR, micro-Raman spectroscopy)",,No,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_155_url.json,155,"Löder & Gerdts, 2015",https://doi.org/10.1007/978-3-319-16510-3_8,llm_ok,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\url_context\https_doi_org_10_1007_978_3_319_16510_3_8.txt,url_landing_page
,,https://doi.org/10.2788/99475,,,,,,,,,,,,,4,"Galgani et al., 2013",https://doi.org/10.2788/99475,no_zotero_match,,url_scrape_failed: <urlopen error [WinError 10054] An existing connection was forcibly closed by the remote host>
,,https://doi.org/10.1520/D8402-23,,,,,,,,,,,,,6,ASTM D8402-23,https://doi.org/10.1520/d8402-23,no_zotero_match,,url_scrape_failed: [WinError 10054] An existing connection was forcibly closed by the remote host
,,https://www.iso.org/obp/ui/en/#iso:std:iso:16094:-2:ed-1:v1:en,,,,161,K8JP8LP7,,,,,,,,7,ISO 16094-2:2025,https://www.iso.org/obp/ui/en/#iso:std:iso:16094:-2:ed-1:v1:en,no_pdf_attachment,,url_no_context
,,https://doi.org/10.1021/es2031505,,,,,,,,,,,,,153,"Hidalgo-Ruz et al., 2012",https://doi.org/10.1021/es2031505,no_zotero_match,,url_scrape_failed: HTTP Error 403: Forbidden
high,zotero_abstractNote,https://doi.org/10.1016/j.chemosphere.2022.137479,,,,239,Z4DLYEF2,C:\Users\Scott.Coffin\Zotero\storage\GKCCZADG\Langknecht et al. - 2023 - Comparison of two procedures for microplastics ana.pdf,"Microplastics (MP) are distributed throughout ecosystems and settle into sediments where they may threaten benthic communities; however, methods for quantifying MP in sediments have not been standardized. This study compares two methods for analyzing MP in sediments, including extraction and identification, and provides recommendations for improvement. Two laboratories processed sediment samples using two methods, referred to as “core” and “augmentation”, and identified particles with visual microscopy and spectroscopy. Using visual microscopy, the augmentation method yielded mean recoveries (78%) significantly greater than the core (47%) (p = 0.03), likely due to the use of separatory funnels in the former. Spectroscopic recovery of particles was lower at 42 and 54% for the core and augmentation methods, respectively. We suspect the visual identification recoveries are overestimations from erroneous identification of non-plastic materials persisting post-extraction, indicating visual identification alone is not an accurate method to identify MP, particularly in complex matrices like sediment. However, both Raman and FTIR proved highly accurate at identifying recovered MP, with 96.7% and 99.8% accuracy, respectively. Low spectroscopic recovery of spiked particles indicates that MP recovery from sediments is lower than previously assumed, and MP may be more abundant in sediments than current analyses suggest. To our knowledge, likely due to the excessive time/labor-intensity associated with MP analyses, this is the first interlaboratory study to quantify complete method performance (extraction, identification) for sediments, with regards to capabilities and limitations. This is essential as regulatory bodies move toward long-term environmental MP monitoring.","particle recovery rates (%), visual microscopy recovery, spectroscopic recovery, Raman and FTIR identification accuracy (%), extraction efficiency",,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_156_Z4DLYEF2.json,156,"Prata et al., 2019",https://doi.org/10.1016/j.chemosphere.2022.137479,llm_ok,,
high,pdf_first_300_lines,https://doi.org/10.1007/s11869-026-01886-w,,,,52337,RXPEWSMR,C:\Users\Scott.Coffin\Zotero\storage\C98GZ3SM\Ren et al. - 2026 - Microplastics sampling methods and standardization requirements in atmospheric environment—a critica.pdf,"This critical review analyzes atmospheric microplastics (MPs) sampling methods and standardization requirements based on 92 articles published between 2015 and 2023. The review examines passive and active sampling approaches, comparing sampling tools, time settings, locations, sources, and intake flow rates. Key findings indicate that atmospheric MPs pose serious threats to ecosystems and human health through inhalation exposure and long-distance atmospheric transport. The review emphasizes that non-standardized sampling methods significantly limit data comparability and credibility, and calls for establishment of globally standardized sampling protocols to ensure accuracy and consistency in atmospheric MPs research.","particle count, polymer type (PA, PET, PP, PVF, PE, PS, fiberglass), particle shape (film, fragment, fiber, granule, foam), color, size distribution, deposition rate (particles/m²/day for passive sampling; particles/m³ for active sampling)",>1 μm to <5 mm (microplastics); <1 μm (nanoplastics),Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_157_RXPEWSMR.json,157,"Ren et al., 2026",https://doi.org/10.1007/s11869-026-01886-w,llm_ok,,
high,pdf_first_300_lines,https://www.sfei.org/documents/understanding-microplastics,,,,256,4WTZMQDR,"C:\Users\Scott.Coffin\Zotero\storage\2K6KLQ72\Sutton et al. - 2019 - Understanding microplastic levels, pathways, and transport in the San Francisco Bay region..pdf","The San Francisco Bay Microplastics Project is a comprehensive regional study of microplastic pollution in a major estuary. The project developed baseline data on microplastic occurrence in surface water, sediment, and fish, characterized pathways of microplastic entry (urban stormwater and treated wastewater), and investigated transport to adjacent National Marine Sanctuaries. Microparticles were distinguished from confirmed microplastics via spectroscopy. Stormwater from 12 small tributaries contained 1.3–30 microparticles per liter, with fragments (59%) and fibers (39%) predominating. Black fragments potentially from tire wear were identified. Annual stormwater discharge to the Bay was estimated at approximately 7 trillion microplastics per year.","Microparticle and microplastic abundance (particles per liter), particle morphology (fragments, fibers), polymer type (confirmed via Raman or FTIR spectroscopy), particle size distribution, annual discharge estimates (trillions of particles), source characterization (stormwater, wastewater, sediment, fish)",Less than 5 mm (operationally defined by collection method: 0.125 mm mesh for stormwater/wastewater/sediment; >0.355 mm for surface water manta trawl),Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_158_4WTZMQDR.json,158,"Sutton et al., 2019",https://www.sfei.org/documents/understanding-microplastics,llm_ok,,
